Formatted_Date,Kp,2MeV,131keV,272keV,380keV,906keV,Nsw,Vsw,by,bz,mlt
2024-04-14-05-00,1.3330000000000002,0.6020599913279624,3.221627739711171,2.260078451667909,1.918807626428366,0.9589887023611361,0.74,333.5,2.83,3.1,23.98
2024-04-14-05-05,1.3330000000000002,1.5962833413729203,3.218939784649039,2.2491391414257236,1.9003586262536853,0.9378237213031421,0.74,333.5,2.83,3.1,0.06
2024-04-14-05-10,1.3330000000000002,1.859380085549405,3.2122903687499567,2.2624503292763993,1.88413787076851,0.9486996279781005,0.74,333.5,2.83,3.1,0.14
2024-04-14-05-15,1.3330000000000002,1.2526741721500074,3.2064138801285305,2.2481990058666783,1.881199258158878,0.9554475593569182,0.74,333.5,2.83,3.1,0.22
2024-04-14-05-20,1.3330000000000002,1.627255242021258,3.202835665640817,2.267476204065872,1.912819906894594,0.9436406660139677,0.74,333.5,2.83,3.1,0.31
2024-04-14-05-25,1.3330000000000002,2.0152329832161393,3.194584085023098,2.2455089778713533,1.9121824561026375,0.949754077137996,0.74,333.5,2.83,3.1,0.39
2024-04-14-05-30,1.3330000000000002,1.6751444669254196,3.194631736959545,2.2557200993244146,1.9048516664719066,0.9533121498402943,0.74,333.5,2.83,3.1,0.47
2024-04-14-05-35,1.3330000000000002,1.770544177197595,3.1930106022988936,2.2582327860666402,1.8879188184102667,0.9461617371326633,0.74,333.5,2.83,3.1,0.55
2024-04-14-05-40,1.3330000000000002,1.4074248995724457,3.1922704299631537,2.256622494433291,1.8945488767809062,0.9340989927841282,0.74,333.5,2.83,3.1,0.63
2024-04-14-05-45,1.3330000000000002,1.6770350001613425,3.185921666605811,2.2595316232550737,1.8995638756792832,0.9396208708260154,0.74,333.5,2.83,3.1,0.72
2024-04-14-05-50,1.3330000000000002,0.6020599913279624,3.1909528227227013,2.262422445042399,1.9049512735152772,0.9377861068964286,0.74,333.5,2.83,3.1,0.8
2024-04-14-05-55,1.3330000000000002,1.935945881933548,3.192248024133274,2.2578060764378347,1.9161548761549703,0.9648468154304672,0.74,333.5,2.83,3.1,0.88
2024-04-14-06-00,1.3330000000000002,0.6020599913279624,3.2123311100327405,2.219996695478496,1.8517985641146175,0.9161957275099475,0.74,333.5,2.83,3.1,0.96
2024-04-14-06-05,1.3330000000000002,0.6020599913279624,3.2123311100327405,2.219996695478496,1.8517985641146175,0.9161957275099475,0.74,333.5,2.83,3.1,1.05
2024-04-14-06-10,1.3330000000000002,0.6020599913279624,3.2123311100327405,2.219996695478496,1.8517985641146175,0.9161957275099475,0.74,333.5,2.83,3.1,1.13
2024-04-14-06-15,1.3330000000000002,0.6020599913279624,3.2123311100327405,2.219996695478496,1.8517985641146175,0.9161957275099475,0.74,333.5,2.83,3.1,1.21
2024-04-14-06-20,1.3330000000000002,0.6020599913279624,3.2123311100327405,2.219996695478496,1.8517985641146175,0.9161957275099475,0.74,333.5,2.83,3.1,1.29
2024-04-14-06-25,1.3330000000000002,0.6020599913279624,3.2123311100327405,2.219996695478496,1.8517985641146175,0.9161957275099475,0.74,333.5,2.83,3.1,1.37
2024-04-14-06-30,1.3330000000000002,0.6020599913279624,3.2123311100327405,2.219996695478496,1.8517985641146175,0.9161957275099475,0.74,333.5,2.83,3.1,1.45
2024-04-14-06-35,1.3330000000000002,0.6020599913279624,3.2123311100327405,2.219996695478496,1.8517985641146175,0.9161957275099475,0.74,333.5,2.83,3.1,1.54
2024-04-14-06-40,1.3330000000000002,0.6020599913279624,3.2123311100327405,2.219996695478496,1.8517985641146175,0.9161957275099475,2.8,331.8,4.46,1.19,1.62
2024-04-14-06-45,1.3330000000000002,0.6020599913279624,3.2123311100327405,2.219996695478496,1.8517985641146175,0.9161957275099475,2.36,334.5,4.78,-0.03,1.7
2024-04-14-06-50,1.3330000000000002,0.6020599913279624,3.2123311100327405,2.219996695478496,1.8517985641146175,0.9161957275099475,2.82,327.5,4.05,-0.46,1.78
2024-04-14-06-55,1.3330000000000002,1.7907838805065763,3.229694275702645,2.2331632985349983,1.862248215701247,0.8994260251267329,2.82,327.5,4.05,-0.46,1.86
2024-04-14-07-00,1.3330000000000002,1.4312639824227924,3.2323672013374747,2.24117061902834,1.8898351107349798,0.9958561407548415,2.16,323.7,3.39,-0.85,1.95
2024-04-14-07-05,1.3330000000000002,1.595105518590408,3.2353675551999634,2.252709623914658,1.9239514509285445,0.9148089449787578,1.89,323.9,4.5,-2.47,2.03
2024-04-14-07-10,1.3330000000000002,1.647548660939258,3.2339234926885934,2.2583634515286573,1.8887273130113797,0.9352419048874709,1.89,323.9,4.5,-2.47,2.11
2024-04-14-07-15,1.3330000000000002,1.3869075806338458,3.235681237299771,2.250366723973063,1.8801958136258305,0.9522762075856852,1.74,329.9,2.64,-1.46,2.19
2024-04-14-07-20,1.3330000000000002,1.5568415606304415,3.2246138254916645,2.2569601622357087,1.9125280066860944,0.9672974670588755,1.82,324.4,3.99,-1.92,2.27
2024-04-14-07-25,1.3330000000000002,2.113593979039988,3.2160431621009353,2.2966546140151087,1.9172366119056894,0.9544035018236425,1.82,324.4,3.99,-1.92,2.36
2024-04-14-07-30,1.3330000000000002,1.8429362579712008,3.182604202208669,2.2469707508158323,1.9300514030578337,0.9665987866717531,1.27,332.9,4.38,-2.95,2.44
2024-04-14-07-35,1.3330000000000002,1.53519962462036,3.1519377100734736,2.298467518140294,1.8900406679774633,0.9163366080779379,1.27,332.9,4.38,-2.95,2.52
2024-04-14-07-40,1.3330000000000002,1.6442245780066953,3.1542111200899376,2.238739372452906,1.8678614827704623,0.9533121498402943,101.68,297.5,4.36,-2.92,2.6
2024-04-14-07-45,1.3330000000000002,1.6463472450940588,3.1780514035669967,2.204242478489765,1.837926071888848,0.8884326147816691,1.68,332.8,2.03,-1.57,2.68
2024-04-14-07-50,1.3330000000000002,2.0954107769043304,3.188886928041486,2.2181105887417445,1.87169851499294,0.8949707565583175,1.68,332.8,0.55,0.47,2.76
2024-04-14-07-55,1.3330000000000002,0.6020599913279624,3.18015301183863,2.238116732262457,1.8836753382339042,0.9458095909490924,1.7,334.6,-2.23,-1.13,2.85
2024-04-14-08-00,1.3330000000000002,2.073013995706065,3.1551036384842,2.2062426135707756,1.8263616388482982,0.9518537526309604,1.47,329.6,-3.01,-2.17,2.93
2024-04-14-08-05,1.3330000000000002,0.6020599913279624,3.1337470961553935,2.157440710394727,1.8036878620976315,0.8834047112499167,2.04,334.1,-2.09,0.1,3.01
2024-04-14-08-10,1.3330000000000002,0.6020599913279624,3.0787290182016185,2.1463202179132757,1.8162469656226419,0.97976469755883,2.04,334.1,-2.09,0.1,3.09
2024-04-14-08-15,1.3330000000000002,1.8955973624645837,3.0651781599714214,2.109711155497237,1.7754502307904867,0.9086000728383755,2.44,339.1,-2.0,0.3,3.17
2024-04-14-08-20,1.3330000000000002,1.7152589105087204,3.044254163527508,2.1386788415282076,1.8159388908820833,1.0150724816857,2.0,338.6,-3.11,0.93,3.25
2024-04-14-08-25,1.3330000000000002,1.8508342126445019,3.090214338562307,2.2192600671626392,1.8728946005833007,1.0227923123419858,1.91,333.6,-3.1,0.92,3.34
