Formatted_Date,Kp,2MeV,131keV,272keV,380keV,906keV,Nsw,Vsw,by,bz,mlt,Kp-12h,Kp-24h,Kp-36h,2MeV-12h,2MeV-24h,2MeV-36h,131keV-12h,131keV-24h,131keV-36h,272keV-12h,272keV-24h,272keV-36h,380keV-12h,380keV-24h,380keV-36h,906keV-12h,906keV-24h,906keV-36h,Nsw-12h,Nsw-24h,Nsw-36h,Vsw-12h,Vsw-24h,Vsw-36h,by-12h,by-24h,by-36h,bz-12h,bz-24h,bz-36h,131keV-next,272keV-next,380keV-next,906keV-next,2MeV-next
2024-04-14-05-00,1.3330000000000002,0.6020599913279624,3.2216277397111712,2.2600784516679093,1.918807626428366,0.958988702361136,0.74,333.5,2.83,3.1,23.98,1.3330000000000002,1.3330000000000002,1.3330000000000002,0.6020599913279624,0.6020599913279624,0.6020599913279624,3.2216277397111712,3.2216277397111712,3.2216277397111712,2.2600784516679093,2.2600784516679093,2.2600784516679093,1.918807626428366,1.918807626428366,1.918807626428366,0.958988702361136,0.958988702361136,0.958988702361136,0.74,0.74,0.74,333.5,333.5,333.5,2.83,2.83,2.83,3.1,3.1,3.1,3.2323672013374747,2.24117061902834,1.88983511073498,0.9958561407548416,1.4312639824227924
2024-04-14-05-05,1.3330000000000002,1.5962833413729205,3.2189397846490384,2.249139141425724,1.900358626253685,0.9378237213031422,0.74,333.5,2.83,3.1,0.06,1.3330000000000002,1.3330000000000002,1.3330000000000002,1.0991716663504414,1.0991716663504414,1.0991716663504414,3.220283762180105,3.220283762180105,3.220283762180105,2.2546087965468167,2.2546087965468167,2.2546087965468167,1.9095831263410257,1.9095831263410257,1.9095831263410257,0.948406211832139,0.948406211832139,0.948406211832139,0.74,0.74,0.74,333.5,333.5,333.5,2.83,2.83,2.83,3.1,3.1,3.1,3.2353675551999634,2.252709623914658,1.9239514509285445,0.9148089449787578,1.5951055185904082
2024-04-14-05-10,1.3330000000000002,1.859380085549405,3.2122903687499567,2.2624503292764,1.88413787076851,0.9486996279781004,0.74,333.5,2.83,3.1,0.14,1.3330000000000002,1.3330000000000002,1.3330000000000002,1.3525744727500961,1.3525744727500961,1.3525744727500961,3.2176192977033886,3.2176192977033886,3.2176192977033886,2.257222640790012,2.257222640790012,2.257222640790012,1.9011013744835203,1.9011013744835203,1.9011013744835203,0.9485040172141262,0.9485040172141262,0.9485040172141262,0.7399999999999999,0.7399999999999999,0.7399999999999999,333.5,333.5,333.5,2.83,2.83,2.83,3.1,3.1,3.1,3.2339234926885934,2.2583634515286573,1.8887273130113797,0.9352419048874708,1.647548660939258
2024-04-14-05-15,1.3330000000000002,1.2526741721500074,3.2064138801285305,2.2481990058666783,1.881199258158878,0.9554475593569182,0.74,333.5,2.83,3.1,0.22,1.3330000000000002,1.3330000000000002,1.3330000000000002,1.327599397600074,1.327599397600074,1.327599397600074,3.2148179433096735,3.2148179433096735,3.2148179433096735,2.254966732059178,2.254966732059178,2.254966732059178,1.89612584540236,1.89612584540236,1.89612584540236,0.9502399027498242,0.9502399027498242,0.9502399027498242,0.74,0.74,0.74,333.5,333.5,333.5,2.83,2.83,2.83,3.1,3.1,3.1,3.2356812372997714,2.250366723973063,1.8801958136258303,0.9522762075856852,1.3869075806338458
2024-04-14-05-20,1.3330000000000002,1.6272552420212585,3.202835665640817,2.267476204065872,1.912819906894594,0.9436406660139676,0.74,333.5,2.83,3.1,0.31,1.3330000000000002,1.3330000000000002,1.3330000000000002,1.3875305664843107,1.3875305664843107,1.3875305664843107,3.2124214877759023,3.2124214877759023,3.2124214877759023,2.257468626460517,2.257468626460517,2.257468626460517,1.8994646577008063,1.8994646577008063,1.8994646577008063,0.9489200554026528,0.9489200554026528,0.9489200554026528,0.74,0.74,0.74,333.5,333.5,333.5,2.83,2.83,2.83,3.1,3.1,3.1,3.2246138254916645,2.2569601622357087,1.9125280066860944,0.9672974670588756,1.5568415606304415
2024-04-14-05-25,1.3330000000000002,2.01523298321614,3.194584085023098,2.2455089778713533,1.9121824561026373,0.949754077137996,0.74,333.5,2.83,3.1,0.39,1.3330000000000002,1.3330000000000002,1.3330000000000002,1.4921476359396155,1.4921476359396155,1.4921476359396155,3.2094485873171017,3.2094485873171017,3.2094485873171017,2.2554753516956563,2.2554753516956563,2.2554753516956563,1.9015842907677785,1.9015842907677785,1.9015842907677785,0.94905905902521,0.94905905902521,0.94905905902521,0.7400000000000001,0.7400000000000001,0.7400000000000001,333.5,333.5,333.5,2.83,2.83,2.83,3.1,3.1,3.1,3.216043162100936,2.2966546140151087,1.9172366119056887,0.9544035018236424,2.113593979039988
2024-04-14-05-30,1.3330000000000002,1.6751444669254196,3.194631736959545,2.255720099324414,1.9048516664719064,0.9533121498402944,0.74,333.5,2.83,3.1,0.47,1.3330000000000002,1.3330000000000002,1.3330000000000002,1.518290040366159,1.518290040366159,1.518290040366159,3.207331894408879,3.207331894408879,3.207331894408879,2.255510315642621,2.255510315642621,2.255510315642621,1.902051058725511,1.902051058725511,1.902051058725511,0.949666643427365,0.949666643427365,0.949666643427365,0.7400000000000001,0.7400000000000001,0.7400000000000001,333.5,333.5,333.5,2.8300000000000005,2.8300000000000005,2.8300000000000005,3.1000000000000005,3.1000000000000005,3.1000000000000005,3.1826042022086694,2.2469707508158323,1.9300514030578333,0.9665987866717533,1.8429362579712008
2024-04-14-05-35,1.3330000000000002,1.770544177197595,3.1930106022988936,2.2582327860666402,1.8879188184102669,0.9461617371326632,0.74,333.5,2.83,3.1,0.55,1.3330000000000002,1.3330000000000002,1.3330000000000002,1.5498218074700885,1.5498218074700885,1.5498218074700885,3.205541732895131,3.205541732895131,3.205541732895131,2.2558506244456242,2.2558506244456242,2.2558506244456242,1.9002845286861052,1.9002845286861052,1.9002845286861052,0.9492285301405272,0.9492285301405272,0.9492285301405272,0.7400000000000001,0.7400000000000001,0.7400000000000001,333.5,333.5,333.5,2.83,2.83,2.83,3.1000000000000005,3.1000000000000005,3.1000000000000005,3.1519377100734736,2.298467518140294,1.8900406679774635,0.9163366080779379,1.53519962462036
2024-04-14-05-40,1.3330000000000002,1.4074248995724457,3.1922704299631537,2.256622494433291,1.8945488767809064,0.9340989927841282,0.74,333.5,2.83,3.1,0.63,1.3330000000000002,1.3330000000000002,1.3330000000000002,1.5339999288147947,1.5339999288147947,1.5339999288147947,3.204067143680467,3.204067143680467,3.204067143680467,2.255936387777586,2.255936387777586,2.255936387777586,1.8996472340299724,1.8996472340299724,1.8996472340299724,0.9475474704342606,0.9475474704342606,0.9475474704342606,0.7400000000000001,0.7400000000000001,0.7400000000000001,333.5,333.5,333.5,2.83,2.83,2.83,3.1000000000000005,3.1000000000000005,3.1000000000000005,3.1542111200899376,2.2387393724529057,1.8678614827704625,0.9533121498402944,1.6442245780066953
2024-04-14-05-45,1.3330000000000002,1.6770350001613423,3.185921666605811,2.2595316232550737,1.8995638756792832,0.9396208708260154,0.74,333.5,2.83,3.1,0.72,1.3330000000000002,1.3330000000000002,1.3330000000000002,1.5483034359494496,1.5483034359494496,1.5483034359494496,3.2022525959730017,3.2022525959730017,3.2022525959730017,2.256295911325336,2.256295911325336,2.256295911325336,1.8996388981949035,1.8996388981949035,1.8996388981949035,0.946754810473436,0.946754810473436,0.946754810473436,0.7400000000000001,0.7400000000000001,0.7400000000000001,333.5,333.5,333.5,2.83,2.83,2.83,3.1000000000000005,3.1000000000000005,3.1000000000000005,3.1780514035669967,2.2042424784897654,1.837926071888848,0.8884326147816691,1.6463472450940588
2024-04-14-05-50,1.3330000000000002,0.6020599913279624,3.1909528227227013,2.262422445042399,1.9049512735152767,0.9377861068964286,0.74,333.5,2.83,3.1,0.8,1.3330000000000002,1.3330000000000002,1.3330000000000002,1.4622813046202234,1.4622813046202234,1.4622813046202234,3.2012253438593383,3.2012253438593383,3.2012253438593383,2.2568528689359777,2.2568528689359777,2.2568528689359777,1.9001218414058465,1.9001218414058465,1.9001218414058465,0.9459394737846172,0.9459394737846172,0.9459394737846172,0.7400000000000001,0.7400000000000001,0.7400000000000001,333.5,333.5,333.5,2.83,2.83,2.83,3.100000000000001,3.100000000000001,3.100000000000001,3.188886928041486,2.2181105887417445,1.87169851499294,0.8949707565583175,2.0954107769043304
2024-04-14-05-55,1.3330000000000002,1.935945881933548,3.192248024133274,2.2578060764378347,1.9161548761549705,0.9648468154304672,0.74,333.5,2.83,3.1,0.88,1.3330000000000002,1.3330000000000002,1.3330000000000002,1.5017533527296674,1.5017533527296674,1.5017533527296674,3.2004772338821663,3.2004772338821663,3.2004772338821663,2.256932302894466,2.256932302894466,2.256932302894466,1.90145792763494,1.90145792763494,1.90145792763494,0.947515085588438,0.947515085588438,0.947515085588438,0.7400000000000001,0.7400000000000001,0.7400000000000001,333.5,333.5,333.5,2.83,2.83,2.83,3.100000000000001,3.100000000000001,3.100000000000001,3.18015301183863,2.238116732262457,1.883675338233904,0.9458095909490924,0.6020599913279624
2024-04-14-06-00,1.3330000000000002,0.6020599913279624,3.2123311100327405,2.219996695478496,1.8517985641146173,0.9161957275099476,0.74,333.5,2.83,3.1,0.96,1.3330000000000002,1.3330000000000002,1.3330000000000002,1.5017533527296674,1.4325461710833822,1.4325461710833822,3.1997025147422966,3.2013890705091335,3.2013890705091335,2.253592156545348,2.254091102324007,2.254091102324007,1.8958738391087944,1.8976379765949152,1.8976379765949152,0.9439490043508392,0.945105904197785,0.945105904197785,0.7400000000000001,0.7400000000000001,0.7400000000000001,333.5,333.5,333.5,2.83,2.8299999999999987,2.8299999999999987,3.100000000000001,3.100000000000001,3.100000000000001,3.1551036384842,2.206242613570776,1.8263616388482984,0.9518537526309604,2.073013995706065
2024-04-14-06-05,1.3330000000000002,0.6020599913279624,3.2123311100327405,2.219996695478496,1.8517985641146173,0.9161957275099476,0.74,333.5,2.83,3.1,1.05,1.3330000000000002,1.3330000000000002,1.3330000000000002,1.4189014068925874,1.3732257296722812,1.3732257296722812,3.1991517918576053,3.20217064476082,3.20217064476082,2.2511636193830795,2.2516557875493275,2.2516557875493275,1.891827167263872,1.8943637328463223,1.8943637328463223,0.9421466715347396,0.9430408915772251,0.9430408915772251,0.7400000000000001,0.7400000000000001,0.7400000000000001,333.5,333.5,333.5,2.83,2.8299999999999987,2.8299999999999987,3.100000000000001,3.100000000000001,3.100000000000001,3.133747096155393,2.157440710394727,1.8036878620976315,0.8834047112499167,0.6020599913279624
2024-04-14-06-10,1.3330000000000002,0.6020599913279624,3.2123311100327405,2.219996695478496,1.8517985641146173,0.9161957275099476,0.74,333.5,2.83,3.1,1.13,1.3330000000000002,1.3329999999999995,1.3329999999999995,1.314124732374134,1.3218146804493265,1.3218146804493265,3.199155186964504,3.202848009112281,3.202848009112281,2.2476258165665874,2.249545181411272,2.249545181411272,1.8891322250427145,1.8915260549308757,1.8915260549308757,0.9394380131623934,0.94125121397274,0.94125121397274,0.7400000000000001,0.7400000000000001,0.7400000000000001,333.5,333.5,333.5,2.83,2.8299999999999987,2.8299999999999987,3.100000000000001,3.100000000000001,3.100000000000001,3.0787290182016185,2.146320217913276,1.8162469656226417,0.97976469755883,0.6020599913279624
2024-04-14-06-15,1.3330000000000002,0.6020599913279624,3.2123311100327405,2.219996695478496,1.8517985641146173,0.9161957275099476,0.74,333.5,2.83,3.1,1.21,1.3330000000000002,1.3329999999999995,1.3329999999999995,1.2599068839722969,1.276830012379241,1.276830012379241,3.1996482894565217,3.20344070291981,3.20344070291981,2.2452756240342393,2.2476984010404735,2.2476984010404735,1.8866821672056928,1.8890430867548595,1.8890430867548595,0.936167027175146,0.9396852460688154,0.9396852460688154,0.7400000000000001,0.7400000000000001,0.7400000000000001,333.5,333.5,333.5,2.83,2.8299999999999987,2.8299999999999987,3.100000000000001,3.100000000000001,3.100000000000001,3.0651781599714214,2.1097111554972368,1.7754502307904867,0.9086000728383756,1.895597362464584
