Formatted_Date,Vsw,Vsw-12h,Vsw-24h,Vsw-36h,Nsw,Nsw-12h,Nsw-24h,Nsw-36h,by,by-12h,by-24h,by-36h,bz,bz-12h,bz-24h,bz-36h,Kp,Kp-12h,Kp-24h,Kp-36h,131keV,131keV-12h,131keV-24h,131keV-36h,272keV,272keV-12h,272keV-24h,272keV-36h,380keV,380keV-12h,380keV-24h,380keV-36h,906keV,906keV-12h,906keV-24h,906keV-36h,2MeV,2MeV-12h,2MeV-24h,2MeV-36h,mlt,131keV-next,272keV-next,380keV-next,906keV-next,2MeV-next
2024-04-14-05-00,333.5,333.5,333.5,333.5,0.74,0.74,0.74,0.74,2.83,2.83,2.83,2.83,3.1,3.1,3.1,3.1,1.3330000000000002,1.3330000000000002,1.3330000000000002,1.3330000000000002,6.245263916414409,6.245263916414409,6.245263916414409,6.245263916414409,5.852029534054352,5.852029534054352,5.852029534054352,5.852029534054352,4.375806462358929,4.375806462358929,4.375806462358929,4.375806462358929,3.626070615159236,3.626070615159236,3.626070615159236,3.626070615159236,1.0526319849170451,1.0526319849170451,1.0526319849170451,1.0526319849170451,23.98,6.262575928556009,5.811169707720243,4.32542325756813,3.72848835901695,0.5824733219662767
2024-04-14-05-05,333.5,333.5,333.5,333.5,0.74,0.74,0.74,0.74,2.83,2.83,2.83,2.83,3.1,3.1,3.1,3.1,1.3330000000000002,1.3330000000000002,1.3330000000000002,1.3330000000000002,6.2409309328542495,6.24309742463433,6.24309742463433,6.24309742463433,5.82838968462099,5.840209609337671,5.840209609337671,5.840209609337671,4.343723651055158,4.359765056707044,4.359765056707044,4.359765056707044,3.567274297780129,3.5966724564696824,3.5966724564696824,3.5966724564696824,0.4889073454415541,0.7707696651792997,0.7707696651792997,0.7707696651792997,0.06,6.267412498982342,5.836105497279576,4.384751573164739,3.503339249150989,0.4895751709592385
2024-04-14-05-10,333.5,333.5,333.5,333.5,0.74,0.7399999999999999,0.7399999999999999,0.7399999999999999,2.83,2.83,2.83,2.83,3.1,3.1,3.1,3.1,1.3330000000000002,1.3330000000000002,1.3330000000000002,1.3330000000000002,6.23021207442493,6.238802307897863,6.238802307897863,6.238802307897863,5.857155161566301,5.845858126747215,5.845858126747215,5.845858126747215,4.315515757266438,4.345015290226842,4.345015290226842,4.345015290226842,3.5974875665231627,3.5969441598208425,3.5969441598208425,3.5969441598208425,0.33973149149348747,0.6270902739506955,0.6270902739506955,0.6270902739506955,0.14,6.265084670214012,5.848323418753428,4.32349679732679,3.560102011777394,0.45983990924744067
2024-04-14-05-15,333.5,333.5,333.5,333.5,0.74,0.74,0.74,0.74,2.83,2.83,2.83,2.83,3.1,3.1,3.1,3.1,1.3330000000000002,1.3330000000000002,1.3330000000000002,1.3330000000000002,6.220739174767191,6.234286524615193,6.234286524615193,6.234286524615193,5.826358051677892,5.840983107979884,5.840983107979884,5.840983107979884,4.310405509938289,4.336362845154704,4.336362845154704,4.336362845154704,3.616233319893519,3.601766449839012,3.601766449839012,3.601766449839012,0.6837337443909458,0.641251141560758,0.641251141560758,0.641251141560758,0.22,6.267918154527232,5.831042490505789,4.308660519895319,3.6074233046730333,0.6076234017806095
2024-04-14-05-20,333.5,333.5,333.5,333.5,0.74,0.74,0.74,0.74,2.83,2.83,2.83,2.83,3.1,3.1,3.1,3.1,1.3330000000000002,1.3330000000000002,1.3330000000000002,1.3330000000000002,6.214971093012997,6.230423438294755,6.230423438294755,6.230423438294755,5.86801607698635,5.8463897017811775,5.8463897017811775,5.8463897017811775,4.365393818089699,4.3421690397417025,4.3421690397417025,4.3421690397417025,3.5834337701868018,3.5980999139085696,3.5980999139085696,3.5980999139085696,0.47134627777394644,0.6072701688033958,0.6072701688033958,0.6072701688033958,0.31,6.250077486692563,5.845290910591366,4.364886203627118,3.6491523634895566,0.5112708351225397
2024-04-14-05-25,333.5,333.5,333.5,333.5,0.74,0.7400000000000001,0.7400000000000001,0.7400000000000001,2.83,2.83,2.83,2.83,3.1,3.1,3.1,3.1,1.3330000000000002,1.3330000000000002,1.3330000000000002,1.3330000000000002,6.201669545057234,6.225631122755168,6.225631122755168,6.225631122755168,5.820544901179995,5.842082235014313,5.842082235014313,5.842082235014313,4.364285291162487,4.345855081645166,4.345855081645166,4.345855081645166,3.6004168262893526,3.5984860659720335,3.5984860659720335,3.5984860659720335,0.25136289851644844,0.547952290422238,0.547952290422238,0.547952290422238,0.39,6.23626157730671,5.93107062088665,4.373074468103993,3.613332928066079,0.1955922138843269
2024-04-14-05-30,333.5,333.5,333.5,333.5,0.74,0.7400000000000001,0.7400000000000001,0.7400000000000001,2.83,2.8300000000000005,2.8300000000000005,2.8300000000000005,3.1,3.1000000000000005,3.1000000000000005,3.1000000000000005,1.3330000000000002,1.3330000000000002,1.3330000000000002,1.3330000000000002,6.201746359978786,6.222219013787113,6.222219013787113,6.222219013787113,5.842611134640059,5.842157792103704,5.842157792103704,5.842157792103704,4.351537047994645,4.346666791123664,4.346666791123664,4.346666791123664,3.610301152256338,3.6001739354412194,3.6001739354412194,3.6001739354412194,0.4441930872532871,0.5331295471123878,0.5331295471123878,0.5331295471123878,0.47,6.182357973960375,5.8237037925130135,4.395359389917572,3.6472114293741305,0.34905514173032914
2024-04-14-05-35,333.5,333.5,333.5,333.5,0.74,0.7400000000000001,0.7400000000000001,0.7400000000000001,2.83,2.83,2.83,2.83,3.1,3.1000000000000005,3.1000000000000005,3.1000000000000005,1.3330000000000002,1.3330000000000002,1.3330000000000002,1.3330000000000002,6.199133090905816,6.219333273426951,6.219333273426951,6.219333273426951,5.84804105069001,5.842893199426994,5.842893199426994,5.842893199426994,4.322090825215454,4.343594795385136,4.343594795385136,4.343594795385136,3.5904373057545387,3.5989568567303847,3.5989568567303847,3.5989568567303847,0.3901014515289636,0.5152510351644598,0.5152510351644598,0.5152510351644598,0.55,6.132923588638439,5.934988306701175,4.3257807216128095,3.507583097240512,0.5235418128402558
2024-04-14-05-40,333.5,333.5,333.5,333.5,0.74,0.7400000000000001,0.7400000000000001,0.7400000000000001,2.83,2.83,2.83,2.83,3.1,3.1000000000000005,3.1000000000000005,3.1000000000000005,1.3330000000000002,1.3330000000000002,1.3330000000000002,1.3330000000000002,6.197939933100605,6.216956235612914,6.216956235612914,6.216956235612914,5.844561210470341,5.843078533987364,5.843078533987364,5.843078533987364,4.333620496721997,4.342486539978122,4.342486539978122,4.342486539978122,3.5569270019543078,3.594286872866376,3.594286872866376,3.594286872866376,0.5959900819424233,0.5242220403620114,0.5242220403620114,0.5242220403620114,0.63,6.136588325584979,5.805915783870729,4.287211118537835,3.610301152256338,0.46172466427020376
2024-04-14-05-45,333.5,333.5,333.5,333.5,0.74,0.7400000000000001,0.7400000000000001,0.7400000000000001,2.83,2.83,2.83,2.83,3.1,3.1000000000000005,3.1000000000000005,3.1000000000000005,1.3330000000000002,1.3330000000000002,1.3330000000000002,1.3330000000000002,6.187705726568568,6.21403118470848,6.21403118470848,6.21403118470848,5.850847837854214,5.843855464374051,5.843855464374051,5.843855464374051,4.342341579806273,4.342472043960937,4.342472043960937,4.342472043960937,3.5722667791546705,3.592084863495205,3.592084863495205,3.592084863495205,0.4431211549085189,0.516111951816662,0.516111951816662,0.516111951816662,0.72,6.175018862549999,5.731367996016383,4.235153439014707,3.430065803863477,0.4605211120316687
